
香港,#genre#
尼克儿童频道,https://us.dispatch.ulivetv.net/v/live/clecty3pkqm8.m3u8?stream_id=clecty3pkqm8&timestamp=1699439632&rand=Ej9Tbvvxxk&uuid=pf7tQMwA544FF9prLU38xz&from=web&sign=70cb786fb2fc0c6af183e557cbc2d130
Animax卡通,https://us.dispatch.ulivetv.net/v/live/cl7cf8045n7k.m3u8?stream_id=cl7cf8045n7k&timestamp=1699439636&rand=JHaQnDUq3U&uuid=2Jfib3t8UiHzMw8rm2EFT4&from=web&sign=260f6622c2e662a69a65dfcef9b805da
Astro 小太阳,?timestamp=1699439638&rand=xphbMjHu7m&uuid=tCdJyH6sdWj6egrnNW3t9X&from=web&sign=2b5b80c57eeeac186f21d7891ffbe840
Boomerang HD,https://us.dispatch.ulivetv.net/v/live/cl7cetj6bz5s.m3u8?stream_id=cl7cetj6bz5s&timestamp=1699439640&rand=Kte10Tp1mH&uuid=4D8ssUineFwGZFUuiYAjBr&from=web&sign=709e8afc1bead8d0055606f008c2b9ba
靖天卡通台,https://us.dispatch.ulivetv.net/v/live/d314fs4kxem8.m3u8?stream_id=d314fs4kxem8&timestamp=1699439643&rand=pC5DRrDSbM&uuid=coRw8tFtLEeVJgnQjyzGsZ&from=web&sign=28f63b1a91ab8a95eb5d8f58a8e2bcec
国际,#genre#
国家地理 野生频道,https://us.dispatch.ulivetv.net/v/live/cg1kmp2fnw00.m3u8?stream_id=cg1kmp2fnw00&timestamp=1699439647&rand=zZ4gZWpfSn&uuid=oBTdZV5kDm3VH5gbj1yHh7&from=web&sign=8cf4ea5e9ba4f21c3003eeb697671c5e
探索科学频道,https://us.dispatch.ulivetv.net/v/live/cg1lhf32n268.m3u8?stream_id=cg1lhf32n268&timestamp=1699439653&rand=jkBOsMTB6E&uuid=uFCiNXA99BkfA2fFkh5nhD&from=web&sign=41961801ff4cd3a46fc80b4daa775f9a
History 频道,https://us.dispatch.ulivetv.net/v/live/cl7ch406n6ww.m3u8?stream_id=cl7ch406n6ww&timestamp=1699439658&rand=PlmGKhgrnK&uuid=ouThnyNDJKFcw3DsB1cF4K&from=web&sign=e54d932070c05b2f0de48418b1788772
History-2 频道,https://us.dispatch.ulivetv.net/v/live/cl7chgdb1t4w.m3u8?stream_id=cl7chgdb1t4w&timestamp=1699439660&rand=9cE3nDrH8v&uuid=t9zqmuVNf7BHfKeD3uvTxH&from=web&sign=c25eee3e27a064bb0e7f0ff9a21a3dcf
美食星球频道,https://us.dispatch.ulivetv.net/v/live/cl7cq7br5d4w.m3u8?stream_id=cl7cq7br5d4w&timestamp=1699439662&rand=ByQ3R4bspy&uuid=jVdz7n6xaPgBSPxTSbEs4f&from=web&sign=dcd3f323f81b2b5e43134e78d35d765c
亚洲旅游台,https://us.dispatch.ulivetv.net/v/live/cl7cikas48n4.m3u8?stream_id=cl7cikas48n4&timestamp=1699439664&rand=S5By3DazQY&uuid=hkfioMGcce3mKcHQfF7z8y&from=web&sign=2a821d72099276ed8c8ff1020bef5a3b
TLC 旅游生活頻道,https://us.dispatch.ulivetv.net/v/live/cl7chv63w4ao.m3u8?stream_id=cl7chv63w4ao&timestamp=1699439666&rand=WJ3E3ttluF&uuid=trznid8hGLdMBmrRtpewMB&from=web&sign=258fadb7c7d8b65dde7cb45d3b5b6f33
动物星球频道,https://us.dispatch.ulivetv.net/v/live/cg1l4589x9s0.m3u8?stream_id=cg1l4589x9s0&timestamp=1699439671&rand=P7rUD9K2Cv&uuid=o3HTfnVfzF5SHUvtU6jvaK&from=web&sign=d36b0a5dc67567f2693db7edbcd729d3
CI 罪案侦查频道,https://us.dispatch.ulivetv.net/v/live/cl7ci6wopq68.m3u8?stream_id=cl7ci6wopq68&timestamp=1699439673&rand=oTRiKdypah&uuid=watwjSKugq8hUWxWJUG55V&from=web&sign=134a70d99b2a7ff30e93d46a07901297
HBO HD,https://us.dispatch.ulivetv.net/v/live/cl7cfnwsvl4w.m3u8?stream_id=cl7cfnwsvl4w&timestamp=1699439675&rand=CsHBP0cSJf&uuid=uLfACTFZoitrNQ1hfrreun&from=web&sign=ec25a6e1223e2b9ef72594b115ff493b
CNN International,https://us.dispatch.ulivetv.net/v/live/cl7ct8ccm6yo.m3u8?stream_id=cl7ct8ccm6yo&timestamp=1699439681&rand=HFqPAI0HYn&uuid=jPBG4bF5TMHzwxvo5cb4DH&from=web&sign=59e52b3273abb56a921d4fe4af0f891d
HLN,https://us.dispatch.ulivetv.net/v/live/cl7cstetysao.m3u8?stream_id=cl7cstetysao&timestamp=1699439683&rand=0tm0FmPpNj&uuid=iuJYwvBbZNUb56gvKqvQfP&from=web&sign=32b485a72f1b938b0957a79d9444bae4
CNBC,https://us.dispatch.ulivetv.net/v/live/cl7cdjqouc3k.m3u8?stream_id=cl7cdjqouc3k&timestamp=1699439687&rand=t49qje0s0h&uuid=nEW1g1AkWNKATqntfzy821&from=web&sign=bd15920b26e0b6a55a8f3dc17cb816fd
Euronews,https://us.dispatch.ulivetv.net/v/live/cl7ctk7x8hq8.m3u8?stream_id=cl7ctk7x8hq8&timestamp=1699439693&rand=eUK8NqncRl&uuid=nBJu1ZUnbbMyKMobuBpCoE&from=web&sign=3c8b101176b21c04b6bf22fc95efa967
ABC News,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV24.m3u8?stream_id=TV24&timestamp=1699439695&rand=WmUXHKRF7u&uuid=vjChwR4t8zz3KiUF64zgJF&from=web&sign=1e7e3866c9c5a7b84a4110b2aa4ddab7
Bloomberg,https://bloomberg.com/media-manifest/streams/us.m3u8?stream_id=us&timestamp=1699439697&rand=sz4uVX8ZuY&uuid=jsGMY9zZfHTwqFoREAewxA&from=web&sign=341a871005fe74f3839494f032f50dba
